condition_id,intercept_fraction,n_runs,theory_qber,qber_errors,qber_trials,qber_estimate,qber_lower,qber_upper,abort_errors,abort_trials,abort_estimate,abort_lower,abort_upper,n_final_median,n_final_q1,n_final_q3,n_final_iqr
intercept-0.0,0.0,50,0.0,0,49935,0.0,0.0,7.69232667093763e-05,0,50,0.0,0.0,0.07134759913335868,3958.0,3930.5,3974.75,44.25
intercept-0.1,0.1,50,0.025,1186,49999,0.023720474409488188,0.022422735647976748,0.025091393339618746,0,50,0.0,0.0,0.07134759913335868,2476.5,2364.75,2534.25,169.5
intercept-0.2,0.2,50,0.05,2534,50020,0.050659736105557775,0.04877215979755215,0.052616324391448026,0,50,0.0,0.0,0.07134759913335868,1358.0,1316.25,1436.75,120.5
intercept-0.3,0.3,50,0.075,3768,50036,0.07530577983851627,0.07302607025721304,0.07765069527621614,1,50,0.02,0.0035392592716462293,0.1049544358963781,439.0,324.5,542.5,218.0
intercept-0.4,0.4,50,0.1,5011,49948,0.10032433731080323,0.09772027140289892,0.10298987593142504,48,50,0.96,0.8653990931249298,0.9889611156723801,0.0,0.0,0.0,0.0
intercept-0.5,0.5,50,0.125,6225,49956,0.12460965649771799,0.12174227186391362,0.1275347693590004,50,50,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0.0
intercept-0.6,0.6,50,0.15,7404,50045,0.14794684783694675,0.14486320137039624,0.15108453742007336,50,50,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0.0
intercept-0.7,0.7,50,0.175,8938,50016,0.17870281509916827,0.1753700791494332,0.1820849014614198,50,50,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0.0
intercept-0.8,0.8,50,0.2,10024,50063,0.2002277130815173,0.19674539406219158,0.20375603312116822,50,50,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0.0
intercept-0.9,0.9,50,0.225,11152,49995,0.22306230623062306,0.21943451782812828,0.22673264940900761,50,50,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0.0
intercept-1.0,1.0,50,0.25,12394,50152,0.24712872866485883,0.24337311296230826,0.2509230794198985,50,50,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0.0
