condition_id,channel,parameters_json,n_runs,z_errors,z_trials,z_estimate,z_lower,z_upper,x_errors,x_trials,x_estimate,x_lower,x_upper,aggregate_errors,aggregate_trials,aggregate_estimate,aggregate_lower,aggregate_upper,theory_z,theory_x,theory_aggregate,absolute_error_z,absolute_error_x,absolute_error_aggregate
identity,identity,"{""type"": ""identity""}",1,0,25,0.0,0.0,0.13319225093904843,0,25,0.0,0.0,0.13319225093904843,0,50,0.0,0.0,0.07134759913335868,0.0,0.0,0.0,0.0,0.0,0.0
depolarizing-0.02,depolarizing,"{""p"": 0.02, ""type"": ""depolarizing""}",1,0,23,0.0,0.0,0.14311661845042678,0,29,0.0,0.0,0.11696979849974071,0,52,0.0,0.0,0.0687922361238623,0.01,0.01,0.01,0.01,0.01,0.01
depolarizing-0.05,depolarizing,"{""p"": 0.05, ""type"": ""depolarizing""}",1,1,26,0.038461538461538464,0.006821984993543487,0.18892778903034751,0,24,0.0,0.0,0.13797620467498012,1,50,0.02,0.0035392592716462293,0.1049544358963781,0.025,0.025,0.025,0.013461538461538462,0.025,0.005000000000000001
depolarizing-0.10,depolarizing,"{""p"": 0.1, ""type"": ""depolarizing""}",1,1,28,0.03571428571428571,0.0063325198490377516,0.17712197743353314,1,25,0.04,0.007096233501987251,0.19544063736193729,2,53,0.03773584905660377,0.010410287275826845,0.12754287197418354,0.05,0.05,0.05,0.01428571428571429,0.010000000000000002,0.01226415094339623
depolarizing-0.15,depolarizing,"{""p"": 0.15, ""type"": ""depolarizing""}",1,1,25,0.04,0.007096233501987251,0.19544063736193729,1,25,0.04,0.007096233501987251,0.19544063736193729,2,50,0.04,0.011038884327619819,0.13460090687507018,0.075,0.075,0.075,0.034999999999999996,0.034999999999999996,0.034999999999999996
depolarizing-0.20,depolarizing,"{""p"": 0.2, ""type"": ""depolarizing""}",1,0,28,0.0,0.0,0.12064330476584559,4,25,0.16,0.0640345145667644,0.3465362160717885,4,53,0.07547169811320754,0.0297395550869467,0.17858477483653223,0.1,0.1,0.1,0.1,0.06,0.02452830188679246
depolarizing-0.25,depolarizing,"{""p"": 0.25, ""type"": ""depolarizing""}",1,1,27,0.037037037037037035,0.006568145980785131,0.18283465933575843,3,25,0.12,0.041668171504403634,0.2995579392092732,4,52,0.07692307692307693,0.030319345184930138,0.18173562384295333,0.125,0.125,0.125,0.08796296296296297,0.0050000000000000044,0.04807692307692307
bit-flip-0.02,bit_flip,"{""p"": 0.02, ""type"": ""bit_flip""}",1,0,24,0.0,0.0,0.13797620467498012,0,26,0.0,0.0,0.12872892185921525,0,50,0.0,0.0,0.07134759913335868,0.02,0.0,0.01,0.02,0.0,0.01
bit-flip-0.05,bit_flip,"{""p"": 0.05, ""type"": ""bit_flip""}",1,2,25,0.08,0.02222040128484759,0.2496610895039531,0,25,0.0,0.0,0.13319225093904843,2,50,0.04,0.011038884327619819,0.13460090687507018,0.05,0.0,0.025,0.03,0.0,0.015
bit-flip-0.10,bit_flip,"{""p"": 0.1, ""type"": ""bit_flip""}",1,3,26,0.11538461538461539,0.04003244623610615,0.2897590321171364,0,25,0.0,0.0,0.13319225093904843,3,51,0.058823529411764705,0.020206639422464673,0.1592462604880042,0.1,0.0,0.05,0.015384615384615385,0.0,0.008823529411764702
