condition_id,intercept_fraction,n_runs,theory_qber,qber_errors,qber_trials,qber_estimate,qber_lower,qber_upper,abort_errors,abort_trials,abort_estimate,abort_lower,abort_upper,n_final_median,n_final_q1,n_final_q3,n_final_iqr
intercept-0.0,0.0,1,0.0,0,49,0.0,0.0,0.07269781922049635,0,1,0.0,0.0,0.7934506856227626,158.0,158.0,158.0,0.0
intercept-0.1,0.1,1,0.025,0,53,0.0,0.0,0.06758198857654184,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.2,0.2,1,0.05,4,52,0.07692307692307693,0.030319345184930138,0.18173562384295333,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.3,0.3,1,0.075,8,53,0.1509433962264151,0.07852417850846265,0.27054249276195336,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.4,0.4,1,0.1,3,52,0.057692307692307696,0.0198141721122706,0.15642511368960757,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.5,0.5,1,0.125,7,49,0.14285714285714285,0.07096423720406764,0.26667706223914406,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.6,0.6,1,0.15,12,52,0.23076923076923078,0.13724260925492748,0.3613378255809983,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.7,0.7,1,0.175,14,55,0.2545454545454545,0.15812114773072916,0.38301871281765865,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.8,0.8,1,0.2,10,51,0.19607843137254902,0.1101534251246669,0.32458079481365604,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-0.9,0.9,1,0.225,8,54,0.14814814814814814,0.07703063137605345,0.26600115283605885,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
intercept-1.0,1.0,1,0.25,17,49,0.3469387755102041,0.2292439283453896,0.48688805713027267,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0
